Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-08-25,1.4469999999999998,1.467,1.44,1.467,73500.0,1.4604,1.4613,1.4607,1.457,1.4607,1.4607,1.4552,1.4548,1.5059,1.5421,1.4998,1.4666,66.6383,54.4338,51.9702,49.3479,,,,,,
2000-08-28,1.467,1.467,1.453,1.467,30000.0,1.466,1.4613,1.4633,1.4587,1.4602,1.4622,1.4556,1.4549,1.5027,1.5414,1.5014,1.4679,66.6383,54.4338,51.9702,49.3479,0.0,,,,,
2000-08-29,1.467,1.473,1.453,1.467,43500.0,1.4639,1.4627,1.4653,1.459,1.4602,1.4638,1.4559,1.4549,1.5003,1.5411,1.5031,1.4693,66.6383,54.4338,51.9702,49.3479,0.0,,,,,
2000-08-30,1.453,1.46,1.433,1.46,31500.0,1.4492,1.4627,1.464,1.4603,1.4596,1.4655,1.4564,1.4549,1.4979,1.5406,1.5043,1.4707,33.6326,48.9422,49.4847,48.6697,-0.0047830634405997,0.0027615029649812944,,,,
2000-08-31,1.453,1.46,1.433,1.46,31500.0,1.4492,1.4627,1.464,1.4603,1.4596,1.4655,1.4564,1.4549,1.4979,1.5406,1.5043,1.4707,33.6326,48.9422,49.4847,48.6697,0.0,0.0027615029649812944,,,,
2000-09-01,1.453,1.453,1.413,1.44,43500.0,1.4331,1.46,1.4607,1.4593,1.4580000000000002,1.4662,1.4567,1.4549,1.4957,1.5394,1.5057,1.4724,10.4163,36.5106,42.8619,46.6786,-0.013793322132335806,0.007003786987708772,0.0060024372369128715,,,
2000-09-04,1.4269999999999998,1.433,1.413,1.433,27000.0,1.4252,1.4533,1.4573,1.4567,1.4567,1.4665,1.4571,1.4553,1.4931,1.5355,1.507,1.474,7.7437,33.3353,40.8971,46.0293,-0.00487296474187443,0.0069949302688386995,0.005632601766976833,,,
2000-09-05,1.44,1.44,1.4269999999999998,1.433,51000.0,1.4363,1.4467,1.454,1.455,1.4556,1.4657,1.4579,1.4546,1.4903,1.5328,1.5082,1.4756,7.7437,33.3353,40.8971,46.0293,0.0,0.0069949302688386995,0.005632601766976833,,,
2000-09-06,1.433,1.433,1.393,1.413,58500.0,1.4149,1.436,1.4493,1.4527,1.4538,1.4635,1.4575,1.4544,1.4878,1.5298,1.509,1.4771,2.8345,25.0602,35.2715,44.0615,-0.014055045143644418,0.007136767240494845,0.007025110337341375,,,
2000-09-07,1.4,1.4,1.3730000000000002,1.4,30000.0,1.3967,1.4240000000000002,1.4433,1.45,1.4516,1.4593,1.4556,1.4534,1.4851,1.5267,1.5099,1.4786,1.7347,21.1269,32.1013,42.7996,-0.009242867081177497,0.007142967912279008,0.006016178302865763,,,
