Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2005-09-23,1.983,1.983,1.983,1.983,9000.0,1.9833,1.9933,2.0133,2.0358,2.0711,2.0596,2.0393,2.0094,1.9523,1.9672,2.0898,2.0818,46.1193,39.7829,47.9267,42.4743,,,,,,
2005-09-26,2.0,2.033,2.0,2.0,10920.0,2.0183,1.9833,2.0117,2.0292,2.0678,2.0604,2.0413,2.0111,1.9527,1.9658,2.0896,2.0873,58.9399,44.5558,49.0436,45.3423,0.008536331022286348,,,,,
2005-09-27,1.983,2.083,1.983,2.083,5700.0,2.0509,1.9933,2.0167,2.0275,2.0667,2.0629,2.045,2.0147,1.9538,1.9656,2.0902,2.0894,85.2546,61.6528,54.1323,56.91,0.040661981718889795,,,,,
2005-09-28,2.083,2.083,2.033,2.033,30600.0,2.0616,2.01,2.0167,2.0242,2.0628,2.0642,2.0463,2.0175,1.9543,1.9656,2.0906,2.0893,54.0683,51.031000000000006,50.9728,50.0637,-0.024296627632625523,0.03247994646854708,,,,
2005-09-29,2.033,2.033,2.017,2.033,16920.0,2.0294,2.0267,2.0167,2.0217,2.0578,2.0654,2.048,2.0206,1.9547,1.9661,2.0912,2.0898,54.0683,51.031000000000006,50.9728,50.0637,0.0,0.03282109027365525,,,,
2005-09-30,2.033,2.083,2.033,2.083,42600.0,2.0491,2.0467,2.02,2.0217,2.055,2.0679,2.0507,2.0244,1.9555,1.9672,2.0917,2.0886,74.8051,59.7971,53.8551,56.1778,0.024296627632625523,0.02429662763262552,0.024611090680578266,,,
2005-10-03,2.083,2.1,2.083,2.1,109500.0,2.0834,2.0667,2.025,2.0283,2.0533,2.0704,2.0527,2.0286,1.9565,1.9682,2.0919,2.0877,79.445,62.3262,54.772,58.0228,0.008128182450542254,0.012368050802193232,0.024617170389575286,,,
2005-10-04,2.083,2.083,2.083,2.083,93900.0,2.0833,2.0667,2.03,2.0308,2.0511,2.0704,2.055,2.0328,1.9565,1.9689,2.0924,2.0873,62.2491,58.2068,53.6688,55.5061,-0.008128182450542254,0.016212424907730193,0.018116200819539473,,,
2005-10-05,2.083,2.117,2.083,2.117,156900.0,2.0994,2.0833,2.0467,2.0367,2.0511,2.0708,2.0573,2.0375,1.9565,1.9699,2.0931,2.0879,77.1117,63.6173,55.5222,59.3076,0.016190829873892976,0.012387426714929593,0.012813634761007369,,,
2005-10-06,2.117,2.117,2.1,2.1,126780.0,2.1055,2.0967,2.0617,2.04,2.0489,2.0713,2.06,2.0419,1.9572,1.971,2.0936,2.0887,59.533,59.2991,54.3967,56.6992,-0.008062647423350722,0.014021708266611315,0.014485651589674678,,,
